Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,42,40.0,0.171,0.724,0.467,0.382,0.382,0.375,0.375,0.41
15,70,28,60.0,0.259,0.814,0.467,0.636,0.636,0.524,0.524,0.552
5,70,42,40.0,0.135,0.697,0.333,0.418,0.418,0.358,0.358,0.33
15,70,46,34.286,0.17,0.696,0.533,0.291,0.291,0.334,0.334,0.51
5,70,37,47.143,0.25,0.846,0.733,0.4,0.4,0.458,0.458,0.57
5,70,17,75.714,0.417,0.828,0.333,0.873,0.873,0.61,0.61,0.726
15,70,36,48.571,0.2,0.771,0.467,0.491,0.491,0.44,0.44,0.475
15,70,41,41.429,0.158,0.719,0.4,0.418,0.418,0.378,0.378,0.35
20,70,37,47.143,0.25,0.846,0.733,0.4,0.4,0.458,0.458,0.615
5,70,20,71.429,0.407,0.907,0.733,0.709,0.709,0.66,0.66,0.743
