Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.919,0.95
5,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.907
10,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.838,0.838,0.939
20,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.83,0.896
15,70,9,87.143,0.714,0.911,0.667,0.927,0.927,0.804,0.804,0.858
15,70,11,84.286,0.625,0.907,0.667,0.891,0.891,0.772,0.772,0.895
15,70,15,78.571,0.5,0.885,0.6,0.836,0.836,0.703,0.703,0.789
20,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.935
10,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.838,0.838,0.953
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.915,0.96
