Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.883,0.97
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.885,0.983
15,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.915,0.986
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.958
20,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.811,0.91
20,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.777,0.777,0.944
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.978
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.849,0.975
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.885,0.984
10,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.99
