Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.943
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.941
10,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.938,0.938,0.982
20,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.961
5,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.952
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.998
5,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.855,0.972
15,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.906,0.984
15,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.943
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.945
