Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
74,22,70.27,0.333,0.294,0.825,0.312,0.583
74,19,74.324,0.417,0.294,0.877,0.345,0.556
74,22,70.27,0.353,0.353,0.807,0.353,0.671
74,21,71.622,0.375,0.353,0.825,0.364,0.683
74,21,71.622,0.333,0.235,0.86,0.276,0.594
74,20,72.973,0.4,0.353,0.842,0.375,0.69
74,22,70.27,0.333,0.294,0.825,0.312,0.651
74,23,68.919,0.312,0.294,0.807,0.303,0.584
74,24,67.568,0.294,0.294,0.789,0.294,0.684
74,23,68.919,0.312,0.294,0.807,0.303,0.614
,21.7,70.6757,0.3462,0.3058,0.8264,0.3237,0.631
