Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
74,18,75.676,0.4,0.118,0.947,0.182,0.714
74,17,77.027,0.5,0.176,0.947,0.261,0.723
74,15,79.73,0.75,0.176,0.982,0.286,0.763
74,18,75.676,0.4,0.118,0.947,0.182,0.686
74,15,79.73,0.75,0.176,0.982,0.286,0.718
74,16,78.378,0.6,0.176,0.965,0.273,0.704
74,16,78.378,0.667,0.118,0.982,0.2,0.719
74,19,74.324,0.333,0.118,0.93,0.174,0.722
74,17,77.027,0.5,0.176,0.947,0.261,0.734
74,18,75.676,0.429,0.176,0.93,0.25,0.708
AVG,16.9,77.1622,0.5329,0.1528,0.9559,0.2355,0.7191
