Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
74,16,78.378,0.6,0.176,0.965,0.273,0.552
74,20,72.973,0.333,0.176,0.895,0.231,0.593
74,19,74.324,0.4,0.235,0.895,0.296,0.655
74,17,77.027,0.5,0.294,0.912,0.37,0.696
74,17,77.027,0.5,0.118,0.965,0.19,0.651
74,18,75.676,0.333,0.059,0.965,0.1,0.677
74,19,74.324,0.375,0.176,0.912,0.24,0.63
74,20,72.973,0,0,0.947,0,0.681
74,22,70.27,0.143,0.059,0.895,0.083,0.595
74,20,72.973,0.385,0.294,0.86,0.333,0.722
,18.8,74.5945,0.3569,0.1587,0.9211,0.2116,0.6452
