Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
66,15,77.273,0.5,0.833,0.4,0.882,0.882,0.444,0.651,0.702
66,21,68.182,0.286,0.788,0.267,0.804,0.804,0.276,0.536,0.571
66,17,74.242,0.438,0.84,0.467,0.824,0.824,0.452,0.642,0.686
66,17,74.242,0.375,0.793,0.2,0.902,0.902,0.261,0.552,0.503
67,18,73.134,0.438,0.824,0.438,0.824,0.824,0.438,0.631,0.678
67,19,71.642,0.333,0.776,0.188,0.882,0.882,0.24,0.533,0.602
67,17,74.627,0.455,0.804,0.312,0.882,0.882,0.37,0.606,0.703
67,18,73.134,0.385,0.815,0.333,0.846,0.846,0.357,0.594,0.665
67,19,71.642,0.357,0.811,0.333,0.827,0.827,0.345,0.582,0.634
67,20,70.149,0.308,0.796,0.267,0.827,0.827,0.286,0.549,0.586
