Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,110,7,93.636,0.975,0.914,0.867,0.985,0.985,0.918,0.933,0.979
5,110,5,95.455,0.935,0.969,0.956,0.954,0.954,0.945,0.953,0.988
5,110,8,92.727,0.93,0.925,0.889,0.954,0.954,0.909,0.924,0.941
5,110,9,91.818,0.909,0.924,0.889,0.938,0.938,0.899,0.915,0.933
5,110,7,93.636,0.932,0.939,0.911,0.954,0.954,0.921,0.934,0.952
5,110,1,99.091,1.0,0.985,0.978,1.0,1.0,0.989,0.991,0.988
5,110,4,96.364,0.918,1.0,1.0,0.938,0.938,0.957,0.963,0.999
5,110,7,93.636,0.896,0.968,0.956,0.923,0.923,0.925,0.935,0.971
5,110,10,90.909,1.0,0.867,0.778,1.0,1.0,0.875,0.902,0.916
5,110,4,96.364,0.977,0.955,0.933,0.985,0.985,0.955,0.962,0.983
