Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,515,8,98.447,0.979,0.995,0.997,0.963,0.963,0.988,0.983,0.996
10,515,8,98.447,0.991,0.974,0.985,0.984,0.984,0.988,0.983,0.998
10,515,17,96.699,0.969,0.964,0.978,0.949,0.949,0.974,0.965,0.968
10,515,15,97.087,0.961,0.989,0.994,0.933,0.933,0.977,0.969,0.987
10,515,12,97.67,0.981,0.969,0.981,0.969,0.969,0.981,0.975,0.994
10,515,15,97.087,0.961,0.989,0.994,0.933,0.933,0.977,0.969,0.987
10,515,10,98.058,0.975,0.989,0.994,0.959,0.959,0.985,0.979,0.996
10,515,17,96.699,0.958,0.984,0.991,0.928,0.928,0.974,0.965,0.996
10,515,11,97.864,0.975,0.984,0.991,0.959,0.959,0.983,0.977,0.989
10,515,9,98.252,0.978,0.989,0.994,0.964,0.964,0.986,0.981,0.997
