Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,110,5,95.455,0.976,0.941,0.911,0.985,0.985,0.943,0.952,0.991
20,110,8,92.727,0.974,0.901,0.844,0.985,0.985,0.905,0.923,0.965
5,110,7,93.636,0.952,0.926,0.889,0.969,0.969,0.92,0.933,0.934
5,110,13,88.182,0.921,0.861,0.778,0.954,0.954,0.843,0.874,0.958
5,110,13,88.182,0.921,0.861,0.778,0.954,0.954,0.843,0.874,0.924
5,110,3,97.273,0.977,0.97,0.956,0.985,0.985,0.966,0.972,0.984
5,110,7,93.636,0.896,0.968,0.956,0.923,0.923,0.925,0.935,0.979
10,110,4,96.364,0.977,0.955,0.933,0.985,0.985,0.955,0.962,0.989
5,110,10,90.909,1.0,0.867,0.778,1.0,1.0,0.875,0.902,0.95
5,110,3,97.273,1.0,0.956,0.933,1.0,1.0,0.966,0.971,0.974
