Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,110,7,93.636,0.952,0.926,0.889,0.969,0.969,0.92,0.933,0.949
15,110,5,95.455,0.935,0.969,0.956,0.954,0.954,0.945,0.953,0.983
5,110,8,92.727,0.951,0.913,0.867,0.969,0.969,0.907,0.924,0.945
5,110,18,83.636,0.787,0.873,0.822,0.846,0.846,0.804,0.832,0.912
5,110,9,91.818,0.891,0.938,0.911,0.923,0.923,0.901,0.916,0.915
5,110,5,95.455,0.976,0.941,0.911,0.985,0.985,0.943,0.952,0.966
5,110,3,97.273,0.938,1.0,1.0,0.954,0.954,0.968,0.972,0.987
10,110,6,94.545,0.915,0.968,0.956,0.938,0.938,0.935,0.944,0.972
5,110,8,92.727,0.951,0.913,0.867,0.969,0.969,0.907,0.924,0.916
5,110,4,96.364,0.977,0.955,0.933,0.985,0.985,0.955,0.962,0.998
