Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
66,12,81.818,0.6,0.882,0.6,0.882,0.882,0.6,0.741,0.803
66,18,72.727,0.4,0.824,0.4,0.824,0.824,0.4,0.612,0.704
66,14,78.788,0.533,0.863,0.533,0.863,0.863,0.533,0.698,0.818
66,18,72.727,0.385,0.811,0.333,0.843,0.843,0.357,0.592,0.651
67,15,77.612,0.529,0.86,0.562,0.843,0.843,0.545,0.698,0.87
67,21,68.657,0.333,0.788,0.312,0.804,0.804,0.323,0.559,0.662
67,16,76.119,0.5,0.843,0.5,0.843,0.843,0.5,0.672,0.731
67,18,73.134,0.412,0.84,0.467,0.808,0.808,0.437,0.631,0.64
67,16,76.119,0.462,0.833,0.4,0.865,0.865,0.429,0.639,0.59
67,18,73.134,0.4,0.827,0.4,0.827,0.827,0.4,0.613,0.707
