Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC,MSE
3,62.5,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.375
1,87.5,0.6666666666666666,1.0,0.8333333333333334,0.8,0.9166666666666667,0.125
2,75.0,0.5,0.5,0.8333333333333334,0.5,0.6666666666666667,0.25
1,85.71428571428571,0.5,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.14285714285714285
2,71.42857142857143,0.0,0.0,0.8333333333333334,0.0,0.33333333333333337,0.2857142857142857
1,85.71428571428571,0.0,0.0,1.0,0.0,1.0,0.14285714285714285
2,71.42857142857143,0.0,0.0,1.0,0.0,0.8,0.2857142857142857
0,100.0,1.0,1.0,1.0,1.0,1.0,0.0
2,71.42857142857143,0.0,0.0,1.0,0.0,0.9,0.2857142857142857
0,100.0,1.0,1.0,1.0,1.0,1.0,0.0
