Nb Errors,Accuracy,Precision,Recall,SpecificityF1,AUC,MSE
3,62.5,0.0,0.0,0.8333333333333334,0.0,0.5,0.375
3,62.5,0.0,0.0,0.8333333333333334,0.0,0.5833333333333334,0.375
2,75.0,0.0,0.0,1.0,0.0,0.8333333333333334,0.25
0,100.0,1.0,1.0,1.0,1.0,1.0,0.0
1,85.71428571428571,0.0,0.0,1.0,0.0,0.33333333333333337,0.14285714285714285
1,85.71428571428571,0.0,0.0,1.0,0.0,0.5,0.14285714285714285
2,71.42857142857143,0.0,0.0,1.0,0.0,0.8,0.2857142857142857
0,100.0,1.0,1.0,1.0,1.0,1.0,0.0
2,71.42857142857143,0.0,0.0,1.0,0.0,0.7,0.2857142857142857
2,71.42857142857143,0.0,0.0,1.0,0.0,0.5,0.2857142857142857
