Index,C,degree,gamma,kernel
0,2.6336363636363633,1,auto,poly
1,1.3218181818181818,2,scale,poly
2,1.3218181818181818,1,scale,poly
3,0.9181818181818182,2,scale,poly
4,0.21181818181818182,1,scale,linear
5,0.7163636363636363,2,scale,poly
6,9.091818181818182,1,scale,sigmoid
7,1.1199999999999999,1,scale,poly
8,2.028181818181818,1,scale,poly
9,1.3218181818181818,2,scale,poly
0,2.6336363636363633,1,auto,poly
1,1.3218181818181818,2,scale,poly
2,1.3218181818181818,1,scale,poly
0,2.6336363636363633,1,auto,poly
1,1.3218181818181818,2,scale,poly
2,1.3218181818181818,1,scale,poly
3,0.9181818181818182,2,scale,poly
4,0.21181818181818182,1,scale,linear
5,0.7163636363636363,2,scale,poly
6,9.091818181818182,1,scale,sigmoid
7,1.1199999999999999,1,scale,poly
8,2.028181818181818,1,scale,poly
9,1.3218181818181818,2,scale,poly
0,2.6336363636363633,1,auto,poly
1,1.3218181818181818,2,scale,poly
2,1.3218181818181818,1,scale,poly
3,0.9181818181818182,2,scale,poly
4,0.21181818181818182,1,scale,linear
5,0.7163636363636363,2,scale,poly
6,9.091818181818182,1,scale,sigmoid
7,1.1199999999999999,1,scale,poly
8,2.028181818181818,1,scale,poly
9,1.3218181818181818,2,scale,poly
